ts_utc,kind,source,detail,amount_cents,currency,lead_ref
2026-08-11T15:13:24.111104+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-11T15:13:46.259129+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-12T00:05:03.272318+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-13T02:05:03.962177+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-14T00:05:03.825185+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-15T00:05:07.090474+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-16T00:05:03.351985+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-17T00:05:03.332714+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-18T00:05:06.577533+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-19T00:05:04.491836+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-20T00:05:03.872633+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-21T00:05:04.913728+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-22T00:05:04.260339+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-23T00:05:05.519523+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-24T00:05:05.457833+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-25T00:05:10.247818+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-26T00:05:05.552696+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-27T00:05:05.395795+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-28T00:05:07.670653+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-29T00:05:03.075360+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-30T00:05:04.624554+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-08-31T00:05:03.420387+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-01T00:05:04.754858+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-02T00:05:03.202666+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-03T00:05:03.227546+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-04T00:05:04.327902+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-05T00:05:04.688710+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-06T19:05:04.900344+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-07T00:05:04.323686+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-08T00:05:03.108827+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-09T00:05:04.519044+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-10T00:05:04.148164+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-11T00:05:04.478754+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-12T00:05:04.416570+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-13T00:05:03.456695+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-14T00:05:03.535967+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-15T00:05:04.385461+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-16T00:05:03.273257+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-17T00:05:04.310838+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-18T00:05:05.615361+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-19T00:05:04.200903+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-20T00:05:05.661967+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-21T00:05:05.420450+00:00,blocker,orchestrator,Stripe key missing/rotated,,usd,
2026-09-21T11:05:05.576988+00:00,report,orchestrator,"{""day"": ""2026-09-21"", ""week_deposits_usd"": 0.0, ""week_payments"": 0, ""week_target_usd"": 2000.0, ""gap_usd"": 2000.0, ""unblock_actions"": []}",,usd,
