Control ID,Family,Control Name,Status,Owner,Evidence Location,Gap Notes,Priority,SPRS Score Impact
3.1.1,3.1,"Limit system access to authorized users, processes, devices",Not Assessed,,,,,110
3.1.2,3.1,Limit access to authorized transactions/functions,Not Assessed,,,,,110
3.1.3,3.1,Control the flow of CUI per approved authorizations,Not Assessed,,,,,110
3.1.4,3.1,Separate duties of individuals,Not Assessed,,,,,110
3.1.5,3.1,Employ least privilege,Not Assessed,,,,,110
3.1.6,3.1,Use non-privileged accounts for non-security functions,Not Assessed,,,,,110
3.1.7,3.1,Prevent non-privileged execution of privileged functions; audit them,Not Assessed,,,,,110
3.1.8,3.1,Limit unsuccessful logon attempts,Not Assessed,,,,,110
3.1.9,3.1,Privacy/security notices (monitoring consent),Not Assessed,,,,,110
3.1.10,3.1,Session lock with pattern-hiding,Not Assessed,,,,,110
3.1.11,3.1,Terminate sessions after defined conditions,Not Assessed,,,,,110
3.1.12,3.1,Monitor and control remote-access sessions,Not Assessed,,,,,110
3.1.13,3.1,Cryptographic protection of CUI in transit,Not Assessed,,,,,110
3.1.14,3.1,Route remote access through managed control points,Not Assessed,,,,,110
3.1.15,3.1,Encrypt CUI on remote-access devices,Not Assessed,,,,,110
3.1.16,3.1,Implement session lock/termination controls (prove it fires),Not Assessed,,,,,110
3.1.17,3.1,Refuse network requests by origin (allowlists),Not Assessed,,,,,110
3.1.18,3.1,Control WLANs for CUI,Not Assessed,,,,,110
3.1.19,3.1,Encrypt CUI on mobile devices,Not Assessed,,,,,110
3.1.20,3.1,Verify/control connections to external systems,Not Assessed,,,,,110
3.1.21,3.1,Limit external connections to systems storing CUI,Not Assessed,,,,,110
3.1.22,3.1,FCI/CUI disclosure controls,Not Assessed,,,,,110
3.2.1,3.2,Ensure MGMT/admins/security trained,Not Assessed,,,,,110
3.2.2,3.2,Ensure personnel trained for security duties,Not Assessed,,,,,110
3.2.3,3.2,Training on recognizing/reporting threats,Not Assessed,,,,,110
