company,segment,website,public rationale,public source URL,personalization angle,verification status
AeroVironment,Defense contractor,https://www.avinc.com/,Official site describes integrated defense technology and autonomous systems.,https://www.avinc.com/about/,Lead with governance for autonomous/AI-enabled tool identities and evidence across defense workflows.,Checked 2026-07-20: HTTP 200
Kratos Defense & Security Solutions,Defense contractor,https://www.kratosdefense.com/,"Official site presents defense systems including unmanned systems, space, propulsion, and microwave electronics.",https://www.kratosdefense.com/,"Discuss agent inventory and approval controls around engineering, program, and mission-support workflows.",Checked 2026-07-20: HTTP 200
Mercury Systems,Defense contractor,https://www.mrcy.com/,Official site positions Mercury as a mission-critical processing company serving aerospace and defense.,https://www.mrcy.com/,Frame privileged-agent controls around sensitive engineering data and mission-critical software operations.,Checked 2026-07-20: HTTP 200
V2X,Defense contractor,https://gov2x.com/,Official site describes mission solutions and operational support for government customers.,https://gov2x.com/,"Offer a rapid register of agents touching program, logistics, and government-customer information.",Checked 2026-07-20: HTTP 200
Parsons,Defense contractor,https://www.parsons.com/,"Official site lists defense, intelligence, security, and infrastructure markets.",https://www.parsons.com/,Connect agent audit evidence to defense/intelligence delivery and customer assurance.,Checked 2026-07-20: HTTP 200
CACI International,Defense contractor,https://www.caci.com/,Official site describes technology and expertise for national security and government modernization.,https://www.caci.com/,Focus on dedicated agent identities and traceable tool actions in national-security programs.,Checked 2026-07-20: HTTP 200
SAIC,Defense contractor,https://www.saic.com/,Official site describes mission-integrating technology services for government customers.,https://www.saic.com/,"Use its public AI work as an opening for runtime permission, approval, and evidence governance.",Checked 2026-07-20: HTTP 200
Leidos,Defense contractor,https://www.leidos.com/,"Official site presents technology solutions across defense, intelligence, civil, and health markets.",https://www.leidos.com/insights/artificial-intelligence,Ask how internal and customer-facing AI agents are inventoried and distinguished in logs.,Checked 2026-07-20: HTTP 200
Booz Allen Hamilton,Defense contractor,https://www.boozallen.com/,"Official site describes AI, cyber, defense, and government consulting capabilities.",https://www.boozallen.com/insights/ai.html,Position the sprint as an implementation-grade control and evidence layer for agentic AI programs.,Checked 2026-07-20: HTTP 200; redirected to https://www.boozallen.com/insights/ai-research.html
ManTech,Defense contractor,https://www.mantech.com/,"Official site serves defense, intelligence, and federal civilian missions with technology solutions.",https://www.mantech.com/,Lead with least privilege and customer-ready evidence for agents in sensitive mission environments.,Checked 2026-07-20: HTTP 200
Amentum,Defense contractor,https://www.amentum.com/,"Official site describes engineering and technology solutions for defense, intelligence, energy, and space.",https://www.amentum.com/,"Audit agent access across complex program environments, owners, subcontractors, and data boundaries.",Checked 2026-07-20: HTTP 200
Peraton,Defense contractor,https://www.peraton.com/,Official site identifies Peraton as a national security company serving government missions.,https://www.peraton.com/,"Tie public AI/ML capability to internal agent identity, tool permission, and recovery controls.",Checked 2026-07-20: HTTP 200
Sierra Nevada Corporation,Defense contractor,https://www.sncorp.com/,Official site describes aerospace and national-security technology solutions.,https://www.sncorp.com/,Use aerospace/mission integration complexity to discuss governed agent connectors and change evidence.,Checked 2026-07-20: HTTP 200
Anduril Industries,Defense contractor,https://www.anduril.com/,Official site develops autonomous systems and defense technology.,https://www.anduril.com/,Differentiate corporate workflow-agent governance from product safety; focus on privileged enterprise access.,Checked 2026-07-20: HTTP 200
Shield AI,Defense contractor,https://shield.ai/,Official site develops AI pilots and autonomous systems for defense.,https://shield.ai/,Propose a scoped review of non-product enterprise agents and their sensitive-data/tool boundaries.,Checked 2026-07-20: HTTP 200
Palantir Technologies,Defense contractor,https://www.palantir.com/,Official site provides software platforms used in government and commercial operations.,https://www.palantir.com/platforms/aip/,"Reference AIP adoption and ask how customer/internal agent permissions, approvals, and evidence are standardized.",Checked 2026-07-20: HTTP 200
Redwire,Defense contractor,https://redwirespace.com/,"Official site provides space infrastructure and technology for civil, commercial, and national-security missions.",https://redwirespace.com/,"Frame governance around agents supporting engineering, supply chain, and controlled program data.",Checked 2026-07-20: HTTP 200; redirected to https://rdw.com/
Rocket Lab,Defense contractor,https://www.rocketlabusa.com/,Official site provides launch and space systems to commercial and government customers.,https://www.rocketlabusa.com/space-systems/,"Ask about agent write access across engineering, manufacturing, and mission-support systems.",Checked 2026-07-20: HTTP 200; redirected to https://rocketlabcorp.com/space-systems/spacecraft/
BWX Technologies,Defense contractor,https://www.bwxt.com/,Official site supplies nuclear components and services for government and commercial customers.,https://www.bwxt.com/,"Lead with strict identity, approval, logging, and sensitive-data boundaries in high-consequence operations.",Checked 2026-07-20: HTTP 200
Curtiss-Wright,Defense contractor,https://www.curtisswright.com/,Official site serves aerospace and defense and commercial power/process markets.,https://www.curtisswright.com/,Offer a cross-business-unit agent inventory and permission baseline for distributed operations.,Checked 2026-07-20: HTTP 200; redirected to https://curtisswright.com/
HII,Defense contractor,https://hii.com/,Official site describes shipbuilding and all-domain technologies for national security.,https://hii.com/,Connect all-domain digital work to scoped identities and human approval for consequential automation.,Checked 2026-07-20: HTTP 200; redirected to https://www.hii.com/
Leonardo DRS,Defense contractor,https://www.leonardodrs.com/,Official site supplies defense products and technologies to military customers.,https://www.leonardodrs.com/,"Focus on traceability and least privilege for agents touching engineering, contracts, and suppliers.",Checked 2026-07-20: HTTP 200
KBR,Defense contractor,https://www.kbr.com/,"Official site provides science, technology, and engineering solutions including government services.",https://www.kbr.com/,Position a sprint around agent ownership and customer-evidence readiness in government programs.,Checked 2026-07-20: HTTP 200; redirected to https://www.kbr.com/en
Cubic,Defense contractor,https://www.cubic.com/,"Official site offers transportation and mission/communications solutions, including defense training technology.",https://www.cubic.com/industries/defense,Use connected training/mission operations as context for tool-call governance and recovery design.,Checked 2026-07-20: HTTP 200
